query_id,query_text,status,execution_time_ms,retry_count,faithfulness,relevancy,entity_f1,failed_metrics,failure_reasons
Q1,How many stocks are there in my portfolio? List them.,SUCCESS,1129.0338039398193,0,0.65,0.4,,,
Q2,How many sectors or industries make up my portfolio?,SUCCESS,1102.3139953613281,0,0.6190476190476191,0.5555555555555556,,,
Q3,What are the top 3 risks across my current portfolio?,SUCCESS,1247.2381591796875,0,0.75,0.6,,,
Q4,How does China regulatory risk impact my tech holdings?,SUCCESS,1128.544807434082,0,0.75,0.0,,,
Q5,Which holdings have the strongest growth outlook based on recent news?,SUCCESS,1030.099868774414,0,0.5818181818181818,0.7272727272727273,,,
Q6,What is TSMC's customer concentration risk and who are their largest customers?,SUCCESS,1239.7270202636719,0,0.75,0.0,,,
Q7,How are semiconductor supply chain dynamics evolving?,SUCCESS,1091.6967391967773,0,0.6666666666666666,0.0,,,
Q8,What companies in my portfolio are most exposed to NVDA's success or failure?,SUCCESS,1058.251142501831,0,0.6363636363636364,0.6923076923076923,,,
Q9,How does TSMC's relationship with NVDA affect AMD's competitive position?,SUCCESS,1318.6659812927246,0,0.75,0.0,,,
Q10,What are the most important developments today for my portfolio holdings?,SUCCESS,1037.5990867614746,0,0.5852272727272727,0.45454545454545453,,,
Q11,Are there any BUY or SELL recommendations for NVDA from major analysts?,SUCCESS,1248.3551502227783,0,0.75,0.0,,,
Q12,What is the latest news about artificial intelligence chip competition?,SUCCESS,1160.9809398651123,0,0.75,0.0,,,
